,dp_id,MissedWeeds,MissedCrop,CasW,WasC,FPWeed,FPCrop,Total,labeled_instances,actual_instances
253,5ec5781268d373ba5bd74216,0,0,0,0,0,26,26,1,1
254,5ec5781268d373ba5bd74214,0,1,0,0,0,7,8,1,1
255,5ecfd76f4c7ca238d5de60c4,1,1,0,0,0,15,17,1,2
256,5ed4a342862cb59f8561bbd7,0,0,0,0,0,1,1,1,1
257,5ed75bdabb95eb6d7a911bf1,0,1,0,0,0,8,9,2,2
258,5ec5781268d373ba5bd74242,0,0,0,0,0,10,10,4,4
259,5ec5781268d373ba5bd7423a,0,0,0,0,1,18,19,3,2
260,5ed4ce6dc86c9648bd82c500,0,0,0,0,3,16,19,14,11
261,5ed7668465e594ccac9d89c7,0,0,0,0,0,5,5,2,2
262,5ec5781268d373ba5bd7424f,1,0,0,0,0,1,2,3,4
263,5ec5781268d373ba5bd74249,1,0,0,0,0,2,3,3,4
264,5ec5781268d373ba5bd7425d,0,0,0,0,0,7,7,1,1
265,5ecf6c409981aedc24360931,0,0,0,0,0,1,1,1,1
266,5ec5781268d373ba5bd74381,0,0,1,0,2,3,6,7,4
267,5ed4b8e3ce042db6b4bdadf5,0,0,2,0,0,0,2,2,0
268,5ed45ad950c268ebb180eef6,0,0,0,0,0,0,0,1,1
269,5ecf8510366f1ff82459f89c,0,0,0,0,0,0,0,1,1
270,5ec5781268d373ba5bd74389,0,0,0,0,1,0,1,1,0
271,5ed475f251972f4d1eb86351,0,0,1,0,0,0,1,1,0
272,5ec5781268d373ba5bd7439b,0,0,0,0,0,0,0,3,3
273,5ed476f051972f4d1eb86359,0,0,1,0,0,0,1,1,0
274,5ec5781268d373ba5bd74398,0,0,1,0,0,0,1,1,0
275,5ed5b03f44839ebc15d2bd7b,1,0,0,0,0,0,1,1,2
276,5ec5781268d373ba5bd7433d,1,0,0,0,0,0,1,2,3
277,5ec5781268d373ba5bd742cf,0,0,0,0,0,0,0,4,4
278,5ec5781268d373ba5bd742cd,0,0,0,0,0,0,0,2,2
279,5ec5781268d373ba5bd742c5,0,0,0,0,0,0,0,1,1
280,5ec5781268d373ba5bd742c4,0,1,1,0,0,0,2,8,7
281,5ed0c74925dd714bc9e4853c,0,1,1,0,2,0,4,12,9
282,5ed5b31296a981642fbbc0c1,0,0,1,0,0,0,1,2,1
283,5ed61e0ffeb36d76a1478cfb,0,0,0,0,0,0,0,1,1
284,5ed47490d170d7ed48525ee7,0,0,2,0,0,0,2,2,0
285,5ed0b8ca087de58927ccbbf6,0,0,1,0,0,0,1,14,13
286,5ec5781268d373ba5bd74260,0,0,0,0,0,0,0,5,5
287,5ed069129477d08753009b1d,0,0,0,0,1,0,1,6,5
288,5ec3a8d3a2ac22245c05211c,0,0,0,0,0,0,0,3,3
289,5ecdd00e35ceb59b550c651b,2,0,0,2,0,4,8,10,14
290,5ec3a8d3a2ac22245c052118,4,0,0,3,0,1,8,11,18
291,5ecdd190f8e9b05d9149e625,1,0,0,0,0,4,5,4,5
292,5ecdd03a7a08e6863d15b5b2,0,0,0,0,0,4,4,1,1
293,5ecf6287c4d62ea8c11f7174,0,0,0,0,0,8,8,1,1
294,5ecdff177755ed7c784780ee,0,0,0,0,0,0,0,11,11
295,5ec4c5b3ce7cf4e480e13481,5,0,0,0,0,1,6,7,12
296,5ec3a8d3a2ac22245c052121,4,0,0,0,0,3,7,10,14
297,5ec3a8d3a2ac22245c052120,0,0,0,0,0,1,1,7,7
298,5ec3a8d3a2ac22245c05211f,0,0,0,0,0,1,1,1,1
299,5ec5781268d373ba5bd7436f,0,0,0,0,1,1,2,4,3
300,5ec5781268d373ba5bd7436c,0,0,0,0,0,0,0,5,5
301,5ec5781268d373ba5bd7436b,0,0,0,0,0,0,0,1,1
302,5ec5781268d373ba5bd7436a,0,0,0,0,0,5,5,1,1
303,5ed5c3cf41de60bbd8e923a2,0,0,0,0,0,0,0,12,12
304,5ed85048baea8bd95878181c,0,0,0,1,0,0,1,1,2
305,5ed0690e5acc2f9fb105bd40,0,0,0,0,1,0,1,9,8
306,5ed46f426b3b99759af2b58c,0,0,0,0,0,0,0,1,1
307,5ed5d2d4b396162c83ed37c3,0,0,0,0,0,0,0,1,1
308,5ec5781268d373ba5bd742aa,2,0,0,0,0,0,2,4,6
309,5ec5781268d373ba5bd742a6,1,3,0,0,2,0,6,3,2
310,5ed46ae21ea028aaf3eabdd6,0,0,0,0,1,0,1,9,8
311,5ec5781268d373ba5bd742bc,2,0,0,0,0,0,2,3,5
312,5ecf6af2dc73777654f88290,0,3,1,0,0,0,4,6,5
313,5ec5781268d373ba5bd742b6,1,0,0,0,0,0,1,2,3
314,5ed0c2ccd0bfb92aa4a0f287,0,1,1,0,0,0,2,10,9
315,5ed4738160359ad2e3ed542f,1,1,0,0,1,3,6,13,13
316,5ec5781268d373ba5bd74286,0,0,0,0,0,2,2,9,9
317,5ec5781268d373ba5bd74285,2,0,0,0,0,0,2,5,7
318,5ed46b211ceb66acaaf54896,0,0,1,0,0,1,2,3,2
